GlobalID,EntryID,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,FiringPoint_X,FiringPoint_Y,FiringPoint_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,HandL_X,HandL_Y,HandL_Z,HandR_X,HandR_Y,HandR_Z,Head_X,Head_Y,Head_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,Player_X,Player_Y,Player_Z,PlayerImage_X,PlayerImage_Y,PlayerImage_Z,PlayerTransformEffect_X,PlayerTransformEffect_Y,PlayerTransformEffect_Z,Raft_X,Raft_Y,Raft_Z,RaftBack_X,RaftBack_Y,RaftBack_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,FiringPoint_RotX,FiringPoint_RotY,FiringPoint_RotZ,FiringPoint_RotW,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2
5112,08062025071047159,-1.651939,1.590401,-0.03834238,3.376924,1.622875,-0.04234238,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.524338,-1.796123,-0.02974239,3.615065,-1.626379,-0.03574238,1.266308,7.550004,-0.01914239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.872818,-0.01,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.9174759,-0.9113925,-0.03104239,0,0,0,1,0,0,0,0,0,0
5113,08062025071047366,-1.80916,1.475981,-0.03274238,3.5288,1.557481,-0.03764239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.752599,-2.092733,-0.02754239,3.580756,-1.781693,-0.03284239,1.494928,7.788865,-0.01484239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.678387,-0.01000072,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,1.033625,-1.210702,-0.02434238,0,0,0,1,0,0,0,0,0,0
5114,08062025071047549,-2.121065,1.432471,-0.03044238,3.375633,1.569847,-0.03674238,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.214294,-2.272177,-0.02614238,3.405509,-2.002846,-0.03144239,1.466922,7.800903,-0.01604239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.503118,-0.01000048,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.8395589,-1.344491,-0.02174238,0,0,0,1,0,0,0,0,0,0
5115,08062025071047746,-2.406342,1.363616,-0.02904239,3.171084,1.540393,-0.03514239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.302612,-2.47373,-0.02394238,3.217505,-1.970607,-0.03004238,1.466922,7.800903,-0.01604239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.366877,-0.01,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.6094654,-1.461361,-0.02034238,0,0,0,1,0,0,0,0,0,0
5116,08062025071047956,-2.551635,1.297177,-0.02844239,3.010906,1.510791,-0.03504238,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.366313,-2.377913,-0.02474239,3.100411,-1.938402,-0.02994238,1.466922,7.800903,-0.01604239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.298353,-0.009999761,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.4895862,-1.515853,-0.01994238,0,0,0,1,0,0,0,0,0,0
5117,08062025071048159,-2.666307,1.274679,-0.02854239,2.932892,1.509988,-0.03544239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.57386,-2.481947,-0.02454239,3.036648,-1.975975,-0.03024239,1.466922,7.800903,-0.01604239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.281617,-0.01000024,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.403695,-1.525863,-0.02014239,0,0,0,1,0,0,0,0,0,0
5118,08062025071048353,-2.711195,1.283193,-0.02854239,2.907502,1.510567,-0.03624238,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.733685,-2.53763,-0.02444239,3.03302,-1.947418,-0.03094238,1.466922,7.800903,-0.01604239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.342853,-0.01000048,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.355653,-1.520667,-0.02114238,0,0,0,1,0,0,0,0,0,0
5119,08062025071048559,-2.471229,1.317051,-0.03004238,3.025017,1.504789,-0.03774239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-2.268607,-2.388233,-0.02594239,3.186368,-2.120684,-0.03134239,1.466922,7.800903,-0.01604239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.480969,-0.01000072,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.4830091,-1.477635,-0.02204238,0,0,0,1,0,0,0,0,0,0
5120,08062025071048759,-2.078174,1.378491,-0.03154239,3.285131,1.500685,-0.03824239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.892679,-2.216398,-0.02714239,3.393078,-1.948939,-0.03224239,1.148717,7.743969,-0.01264238,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.658749,-0.01,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,0.7874078,-1.408419,-0.02324239,0,0,0,1,0,0,0,0,0,0
5121,08062025071048952,-1.696083,1.471755,-0.03424239,3.577118,1.468979,-0.03844239,11.184,0.63,0,0.1150191,-2.001228,-0.09014238,1.764946,-2.3369,-0.07524239,-1.725734,-1.983091,-0.02944239,3.535663,-2.091201,-0.03294239,1.568739,7.652327,-0.01284239,-0.7497084,-3.460143,-0.07054238,1.381439,-3.547516,-0.05814238,-4.5,-1.870871,-0.01000048,0,2.407399,0.04805761,0,2.5,-0.2,0,0,0,-0.066,0.102,0.1,1.043601,-1.274485,-0.02614238,0,0,0,1,0,0,0,0,0,0
