GlobalID,EntryID,Bomb_0_X,Bomb_0_Y,Bomb_0_Z,Bomb_1_X,Bomb_1_Y,Bomb_1_Z,Bomb_10_X,Bomb_10_Y,Bomb_10_Z,Bomb_11_X,Bomb_11_Y,Bomb_11_Z,Bomb_2_X,Bomb_2_Y,Bomb_2_Z,Bomb_3_X,Bomb_3_Y,Bomb_3_Z,Bomb_4_X,Bomb_4_Y,Bomb_4_Z,Bomb_5_X,Bomb_5_Y,Bomb_5_Z,Bomb_6_X,Bomb_6_Y,Bomb_6_Z,Bomb_7_X,Bomb_7_Y,Bomb_7_Z,Bomb_8_X,Bomb_8_Y,Bomb_8_Z,Bomb_9_X,Bomb_9_Y,Bomb_9_Z,Coin_X,Coin_Y,Coin_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Ground_X,Ground_Y,Ground_Z,HandL_X,HandL_Y,HandL_Z,HandR_X,HandR_Y,HandR_Z,Head_X,Head_Y,Head_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,Passport_X,Passport_Y,Passport_Z,Player_X,Player_Y,Player_Z,PlayerImage_X,PlayerImage_Y,PlayerImage_Z,PlayerTransformEffect_X,PlayerTransformEffect_Y,PlayerTransformEffect_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,Suitcase_X,Suitcase_Y,Suitcase_Z,Spatial,Temporal,Spatial_1,Temporal_1,Spatial_2,Temporal_2
1008,08062025072350915,,,,,,,,,,,,,,,,,,,,,,-1.360305,-0.5239059,0.005355895,-6.2,4.27,0,,,,,,,,,,-6.2,-3.196908,0,-2.185115,6.014509,0.006557494,0.8253329,6.03799,0.0264575,-0.9663733,0.3323727,-0.003942505,0.5426509,-0.04453993,0.008357495,0,-3.7,0,-2.58249,4.263762,0.009157494,0.5882237,3.927513,0.0304575,-0.9413907,9.866663,0.0418575,-1.228613,2.76129,0.008257508,-0.102684,2.339604,0.0286575,-6.3,3.4,0,1.115648,-3.08,0,-1.516362,5.907181,0.1631575,0,2.5,-0.2,-0.8552372,4.568349,0.02575749,-5.31,3.32,0,1,1,1,1,1,1
1009,08062025072351135,,,,,,,,,,,,,,,,,,,,,,-1.360305,-1.07018,0.005355895,-6.2,4.171881,0,,,,,,,,,,-6.2,-3.196908,0,-2.331912,6.007942,0.009257495,0.6708133,5.993006,0.03095749,-1.067023,0.2563219,-0.005242497,0.5426509,-0.04453993,0.008357495,0,-3.7,0,-2.632482,4.212086,0.0110575,0.4625264,3.838784,0.03335749,-1.169528,9.892615,0.04525749,-1.493179,2.819571,0.01565748,-0.4631836,2.38808,0.0300575,-6.3,3.4,0,0.8435783,-3.08,0,-1.516362,5.907181,0.1631575,0,2.5,-0.2,-1.016464,4.497789,0.0295575,-5.31,3.32,0,1,1,1,1,1,1
1010,08062025072351319,,,,,,,,,,,,,,,,,,,,,,-1.360305,-1.575659,0.005355895,-6.2,3.947778,0,,,,,,,,,,-6.2,-3.196908,0,-2.386367,6.025693,0.0111575,0.629869,5.943574,0.03355749,-1.275927,0.2984009,-0.001542509,0.5426509,-0.04453993,0.008357495,0,-3.7,0,-2.735082,4.26078,0.0130575,0.3768071,3.767442,0.0357575,-1.193261,9.936042,0.0477575,-1.757933,2.457583,0.0192575,-0.4920069,2.340213,0.0306575,-6.3,3.4,0,0.6214027,-3.08,0,-1.516362,5.907181,0.1631575,0,2.5,-0.2,-1.148124,4.454791,0.02995749,-5.31,3.32,0,1,1,1,1,1,1
1011,08062025072351522,,,,,,,,,,,,,,,,,,,,,,-1.360305,-2.210633,0.005355895,-6.2,3.546381,0,,,,,,,,,,-6.199978,-3.202721,0,-2.577016,6.046211,0.01255751,0.473983,5.976467,0.03095749,-1.698799,0.2065654,-0.001542509,0.5426509,-0.04453993,0.008357495,0,-3.7,0,-2.910978,4.249365,0.0147575,0.2640311,3.805444,0.0351575,-1.304325,9.953992,0.0480575,-1.852057,2.550019,0.0157575,-0.5436042,2.406287,0.0298575,-6.3,3.4,0,0.4110012,-3.08,0,-1.516362,5.907181,0.1631575,0,2.5,-0.2,-1.272806,4.459268,0.03035749,-5.31,3.32,0,1,1,1,1,1,1
1012,08062025072351736,,,,,,,,,,,,,,,,,,,,,,-1.360305,-2.749099,0.005355895,-6.2,3.136569,0,,,,,,,,,,-6.199981,-3.201199,0,-2.719216,6.030398,0.01435749,0.3356649,6.065962,0.0272575,-1.724132,0.04817247,-0.0006424934,0.5426509,-0.04453993,0.008357495,0,-3.7,0,-3.034406,4.189383,0.0171575,0.2283028,4.087358,0.0295575,-1.465356,9.960182,0.04785749,-1.849699,2.630692,0.0154575,-0.4974504,2.479345,0.02375749,-6.3,3.4,0,0.3590384,-3.08,0,-1.516362,5.907181,0.1631575,0,2.5,-0.2,-1.303599,4.499515,0.02855749,-5.31,3.32,0,1,1,1,1,1,1
1013,08062025072351930,,,,,,,,,,,,,,,,,,,,,,-1.360305,-3.218772,0.005355895,-6.2,2.74444,0,,,,,,,,,,-6.199982,-3.201041,0,-2.440162,5.973875,0.01639259,0.6543497,6.07434,0.02179258,-1.526734,0.07226896,-0.0002074093,0.9430009,0.1940227,0.003792584,0,-3.7,0,-2.594149,3.969253,0.02009258,0.7758652,4.179818,0.02689259,-1.010815,9.950884,0.04559258,-1.509522,2.661763,0.02189259,0.3313504,2.591183,0.02619259,-6.3,3.4,0,0.9663667,-3.08,0,-1.381586,5.898714,0.1628926,0,2.5,-0.2,-0.8089247,4.518827,0.02809259,-5.31,3.32,0,1,1,1,1,1,1
1014,08062025072352132,,,,,,,,,,,,,,,,,,,,,,,,,-6.2,2.204325,0,,,,,,,,,,-6.199982,-3.201002,0,-1.759188,5.936377,0.01726772,1.365018,5.966321,0.02266774,-1.351088,0.01500225,-0.001332268,1.258904,0.1270709,-0.0006322712,0,-3.7,0,-1.945016,3.933915,0.02056773,1.314184,4.083266,0.02736773,-0.1303321,9.873772,0.04566772,-1.033175,2.531592,0.02026772,0.9395611,2.670744,0.02416773,-6.3,3.4,0,1.866972,-3.08,0,-1.277904,5.880557,0.1628677,0,2.5,-0.2,-0.17155,4.435832,0.02736773,-5.31,3.32,0,1,1,1,1,1,1
1015,08062025072352322,,,,,,,,,,,,,,,,,,,,,,,,,-6.2,1.790208,0,,,,,,,,,,-6.199982,-3.200999,0,-1.087722,5.990526,0.01854101,1.945073,5.904841,0.02374101,-1.409281,0.1479578,-5.90E-05,1.252961,0.1081629,-0.0004590005,0,-3.7,0,-1.147725,4.085307,0.019941,1.897707,3.897784,0.02914101,0.6626414,9.828407,0.047641,-0.8114847,2.530086,0.017341,1.154012,2.570337,0.02204101,-6.3,3.4,0,2.645702,-3.08,0,-1.278423,5.823906,0.163241,0,2.5,-0.2,0.2894002,4.400284,0.026741,-5.31,3.32,0,1,1,1,1,1,1
1016,08062025072352523,,,,,,,,,,,,,,,,,,,,,,,,,-6.2,1.192249,0,,,,,,,,,,-6.199982,-3.200999,0,-1.044134,5.997785,0.01696333,2.075271,5.843332,0.02546333,-1.75054,0.1637783,-0.000936687,1.248317,0.07339525,-0.0002366751,0,-3.7,0,-1.304248,4.082357,0.02056333,1.983015,3.80842,0.02876332,0.8306715,9.807791,0.04846332,-0.9242781,2.570913,0.01646334,1.151348,2.492068,0.02276333,-6.3,3.4,0,2.734375,-3.08,0,-1.283062,5.783886,0.1634633,0,2.5,-0.2,0.3373084,4.382381,0.02736333,-5.31,3.32,0,1,1,1,1,1,1
1017,08062025072352736,,,,,,,,,,,,,,,,,,,,,,,,,-6.2,0.6709546,0,,,,,,,,,,-6.199982,-3.200999,0,-1.352325,5.918889,0.01557155,1.771122,5.784786,0.02707155,-2.61477,0.2055717,-0.001528457,1.291367,-0.03418541,0.001171544,0,-3.7,0,-1.683721,3.925494,0.01957154,1.572782,3.783998,0.02907155,0.3277392,9.694,0.04817154,-1.449738,2.603971,0.01647155,1.002127,2.464073,0.02147155,-6.3,3.4,0,1.871439,-3.08,0,-1.128092,5.782935,0.1638715,0,2.5,-0.2,-0.01909077,4.306448,0.02747154,-5.31,3.32,0,1,1,1,1,1,1
