GlobalID,EntryID,Spatial,Temporal,App,missing_joints_count,missing_joints_ratio,collapsed_joints_count,center_of_mass_x,center_of_mass_y,center_of_mass_z,distance_from_origin,bbox_width,bbox_height,bbox_depth,bbox_volume,max_joint_distance_from_com,distance_from_floor,below_floor,left_forearm_length,right_forearm_length,left_shin_length,right_shin_length,arm_length_symmetry,leg_length_symmetry,body_forward_x,body_forward_y,body_forward_z
2610,08062025061645813,1,1,Puzzle,0,0.0,0,0.5303089709999999,-2.12320547,14.292749999999998,14.459319888399348,5.943683,14.428719,3.323220000000001,284.998456018995,7.46207802049833,,,2.831110328028836,2.686803069051582,4.556914309168595,4.307534027007565,0.14430725897725383,0.24938028216103003,-0.03497162001366169,0.9718069400645997,-0.23317001744628235
2611,08062025061646016,1,1,Puzzle,0,0.0,0,0.4885534959999999,-2.11649496,14.351553,14.51500289169686,5.977241,14.479974,3.2891700000000004,284.67863140975936,7.515167714017464,,,2.831344382856914,2.716894830407132,4.549482568966103,4.388701777476911,0.11444955244978194,0.16078079148919233,-0.048656529997066836,0.9731623883696606,-0.22491666890495762
2612,08062025061646224,1,1,Puzzle,0,0.0,0,0.294079271,-2.09854366,14.217354999999998,14.374406120135294,6.6071480000000005,14.494214,3.32681,318.59334706840485,7.548635980671352,,,2.588396401114744,2.7284387415672353,4.491413345144463,4.458935200983526,0.1400423404524913,0.03247814416093675,-0.06207128813111342,0.9747580154505349,-0.21446203977552564
2613,08062025061646413,1,1,Puzzle,0,0.0,0,0.28058474000000005,-2.1855945599999997,14.210701,14.380527608138149,6.354996,14.483331,3.3172800000000002,305.32746218920937,7.46561923164192,,,2.4516548572788057,2.6887747260983024,4.459639058835331,4.435797939708819,0.23711986881949665,0.02384111912651221,-0.07200806225056462,0.9750426209263928,-0.21001601450344062
2614,08062025061646618,1,1,Puzzle,0,0.0,0,0.35236837300000007,-2.2004916700000003,14.403565,14.574944657502309,5.715989,14.476424000000002,3.154029999999999,260.986773815292,7.439877224034819,,,2.8147434308027957,2.5980722503075238,4.446532035865283,4.4010058693122645,0.2166711804952719,0.04552616655301822,-0.07201030716202589,0.974462016112344,-0.21269295902003146
2615,08062025061646814,1,1,Puzzle,0,0.0,0,0.2485801920000002,-2.2019711099999997,14.406759,14.576185158168457,5.960262,14.37148,3.3745399999999997,289.0556255995712,7.432512369225414,,,2.81825332543464,2.6441112757605345,4.415445423584687,4.372078939904104,0.17414204967410551,0.04336648368058338,-0.05999700260701357,0.9740504383016142,-0.21823405628500608
2616,08062025061647019,1,1,Puzzle,0,0.0,0,0.05584470999999995,-2.23014114,14.27043,14.443746761863954,6.438783,14.404521,3.5729299999999995,331.3806286523247,7.420929626817754,,,2.4763400059483267,2.727313822306116,4.421091416811053,4.463832393051962,0.2509738163577895,0.04274097624090878,-0.04817424071557595,0.9723418283396077,-0.2285401745703946
2617,08062025061647217,1,1,Puzzle,0,0.0,0,0.05723941000000001,-2.15935945,14.43977,14.600447501267263,6.447228000000001,14.585443999999999,3.0946800000000003,291.01034730932935,7.587987520835566,,,2.8189366271887444,2.729140884076892,4.663235324190985,4.334031208196864,0.08979574311185257,0.3292041159941217,-0.030679824446145518,0.9724836631631059,-0.23094214265226817
2618,08062025061647423,1,1,Puzzle,0,0.0,0,-0.16566713,-2.32074656,14.319253999999997,14.507044678714896,5.702942999999999,14.609082,4.148260000000002,345.6112943167978,7.48791294860943,,,2.816031077418181,2.8026021080183616,4.654180021845336,4.232767010606655,0.013428969399819302,0.42141301123868136,-0.03382606302610649,0.977354746070952,-0.20888632744327412
2619,08062025061647617,1,1,Puzzle,0,0.0,0,-0.58059081,-2.3689276599999998,14.144246999999998,14.35300063206222,4.592422,14.611132999999999,4.584489999999999,307.6215191382642,7.475049055931632,,,2.815420326940537,2.517898495396327,4.573125463656072,4.3437810445576055,0.2975218315442101,0.22934441909846637,-0.028948658174543934,0.9823736687340608,-0.1846725484956422
2620,08062025061647820,1,1,Puzzle,0,0.0,0,-0.6734334200000001,-2.4105331800000003,14.152086,14.371698609922552,4.522362,14.637009,4.1626600000000025,275.54250535803885,7.535287819642494,,,2.8156352611510256,2.8862026084068395,4.5907381274207495,4.392111558143419,0.07056734725581393,0.19862656927733013,-0.022279838481653567,0.9812552420495539,-0.19142037181946653
2621,08062025061648017,1,1,Puzzle,0,0.0,0,-0.47281516,-2.5444002699999997,13.909203,14.147913450566161,4.896724,14.605101999999999,4.74422,339.29310991062977,7.591721341089197,,,2.815938370188694,2.4302992885387633,4.598072193080074,4.891550182623423,0.38563908164993066,0.2934779895433488,-0.0353302178656779,0.9711504627836911,-0.23583586313490615
2622,08062025061648221,1,1,Puzzle,0,0.0,0,-0.030915710000000034,-2.6300396800000003,13.634989,13.886359837251096,6.664992,14.85023,4.4642599999999995,441.8575626900647,7.597106434671761,,,2.816810490246706,3.171030032196203,4.655141212864627,5.35109643112268,0.3542195419494969,0.6959552182580531,-0.047577697510548585,0.9570109169223736,-0.2861231685673013
2623,08062025061648426,1,1,Puzzle,0,0.0,0,0.35462237999999985,-2.74024148,13.054336000000001,13.343551581269713,8.676349,14.819928999999998,4.042260000000001,519.7654169833727,7.618455574189238,,,2.451288517991434,3.321594541710387,4.594596165494217,5.262065506098502,0.8703060237189528,0.6674693406042858,-0.015941829724726943,0.9590385501284443,-0.2828266561563094
2624,08062025061648618,1,1,Puzzle,0,0.0,0,0.45399683,-3.305072013,12.069610999999998,12.522185265523222,7.071568000000001,15.007566,3.0084,319.27253744772537,7.953126202576442,,,2.383574677219147,2.953836206389795,5.497774830995519,5.409623073204361,0.5702615291706481,0.08815175779115858,0.028101204436695178,0.9643218185565904,-0.2632370653325957
2625,08062025061648822,1,1,Puzzle,0,0.0,0,0.47906437000000024,-3.5221308899999997,11.314960600000001,11.86015354270121,5.1349540000000005,14.829421,4.304024,327.7445182712251,7.997576683952101,,,3.4746549938738505,2.8249665760292526,5.700746795935951,5.163035896540427,0.6496884178445979,0.537710899395524,0.0516588845935183,0.9618271366344145,-0.26873763948542245
2626,08062025061649040,1,1,Puzzle,0,0.0,0,0.6131453600000001,-3.5418290499999996,10.7840173,11.367300883614048,5.521113,14.913433000000001,4.418052000000001,363.7768738616226,7.963940174476389,,,2.9649069710303833,2.757732976263395,5.672308954991169,5.231484606201666,0.2071739947669884,0.44082434878950316,0.10000573234703342,0.9594889013493391,-0.2634006486043106
2627,08062025061649220,1,1,Puzzle,0,0.0,0,0.48622989499999997,-3.84048741,10.484777,11.176596610636405,4.1543589999999995,15.121039999999999,5.185786,325.76189048796164,8.261053212597925,,,2.7594035785306956,2.452840729278809,5.06573257232917,5.287301518188952,0.3065628492518866,0.22156894585978204,0.19926767174477358,0.954014048276349,-0.22394104288582128
2628,08062025061649414,0,0,Puzzle,0,0.0,0,0.6953937000000001,-3.732041828,10.623551700000002,11.28146973255321,2.0431576000000002,15.330383999999999,6.326345,198.1562490371097,8.245652308926257,,,3.201777044473092,3.1415194001952176,4.963208405900662,5.037559260053226,0.06025764427787461,0.0743508541525637,0.2006080041180493,0.9529943436439046,-0.2270643293573348
2629,08062025061649620,0,0,Puzzle,0,0.0,0,1.0130674019999997,-3.4778306799999994,11.2487151,11.81758025996491,2.5885676,15.619485000000001,6.283704,254.06330325375814,8.603707721337901,,,3.025437833198081,3.7707752701010184,5.328529634717876,4.914055015465642,0.7453374369029375,0.4144746192522337,0.16141380782353817,0.9834565178379564,-0.08221228719569337
2630,08062025061649822,0,0,Puzzle,0,0.0,0,0.5485252199999999,-3.17407179,12.352007099999998,12.76509659358284,2.6616481,15.608539,6.237109,259.1171892295471,8.863008808315113,,,3.2694610250153113,3.7719488189603743,5.085179222477186,4.252234583009032,0.5024877939450629,0.8329446394681543,0.11031909844097489,0.9938919476654685,-0.002914255464449223
2631,08062025061650020,0,0,Puzzle,0,0.0,0,-0.51285575,-3.17806649,12.32821,12.74158112006783,6.08707,16.183465,2.31691,228.23853602783657,9.063719273955316,,,3.2808895840000485,3.646391953645912,5.4532099814387545,5.461365206880351,0.36550236964586347,0.008155225441596414,0.013984428787557063,0.9996808072804483,-0.021040896050242407
2632,08062025061650219,0,0,Puzzle,0,0.0,0,-0.66316222,-3.0931444499999996,12.805513999999999,13.190470633104685,5.900342,16.327675,1.9931599999999996,192.01877528239638,9.149258145017193,,,3.453170016858341,3.605817827363264,5.4824113236803225,5.3143878185669715,0.15264781050492315,0.16802350511335096,-0.05390216588133783,0.9984764452663174,-0.011804438217869867
2633,08062025061650426,0,0,Puzzle,0,0.0,0,-0.4646660000000001,-3.0939996499999998,13.126666999999998,13.494374192775487,5.735249,16.439025,2.057369999999999,193.97275608453282,9.231781057436406,,,3.2160763643798957,3.562680302475281,5.43604660158612,5.0349437300761055,0.34660393809538537,0.4011028715100142,-0.08394658573032406,0.9964694935164808,-0.001232572606276576
2634,08062025061650612,0,0,Puzzle,0,0.0,0,-0.14369915999999988,-3.2022819299999994,13.353926999999999,13.733267103246707,5.445012,16.525684,3.11486,280.2830384920915,9.398821380964755,,,2.870481893945142,3.410486320594909,5.49718267008092,5.21616530577628,0.5400044266497668,0.2810173643046401,-0.059278698363327276,0.99797303897488,0.02314842110365931
2635,08062025061650815,0,0,Puzzle,0,0.0,0,0.07248197600000006,-3.17763145,13.503141,13.872181232046925,5.057131999999999,16.559648,3.8783900000000013,324.7931557764464,9.431092221055515,,,2.5500906406474337,3.71226158607476,5.438388736864853,5.384974995451697,1.1621709454273264,0.05341374141315658,-0.04981239876698619,0.9972560835665791,0.05476338848653188
2636,08062025061651023,0,0,Puzzle,0,0.0,0,-0.75124589,-3.2143207590000005,12.909630000000002,13.324968107499556,4.115333,16.152883,2.5380599999999998,168.71625032043627,9.40061296919509,,,2.772586606837429,2.9781473480194,5.246286775952551,4.70670877725508,0.20556074118197065,0.5395779986974709,-0.07387621771688167,0.9949484408123037,0.06796987995438454
2637,08062025061651213,0,0,Puzzle,0,0.0,0,-0.7541697999999999,-3.292904926,12.692519,13.134383636252906,3.7748679999999997,15.885129,2.9873399999999997,179.13364781726924,9.242422633976883,,,2.814115959724148,2.9823808083955745,5.027359208302143,4.396260385540355,0.16826484867142666,0.6310988227617882,-0.20835365349875212,0.9773847048307382,-0.036164814898634066
2638,08062025061651424,0,0,Puzzle,0,0.0,0,-1.3658728500000001,-2.8656563200000003,12.232793,12.637991112814253,4.7966464,14.708988000000002,4.6101399999999995,325.26296163146446,8.209501358221553,,,3.05173287361952,3.517878109640938,4.6182313831090145,5.660450343601165,0.466145236021418,1.0422189604921508,-0.26292692154416136,0.9472917428690417,-0.18305132564240956
2639,08062025061651614,0,0,Puzzle,0,0.0,0,-0.783757852,-3.3741409499999997,11.8186457,12.315822737566785,2.4398261,15.524255,4.86251,184.1747750769452,8.57096298371172,,,2.965662923312521,3.286771570566687,5.555120524561518,5.2901009656877775,0.321108647254166,0.26501955887374073,-0.12862316699792414,0.9642719469618711,-0.23159381082789465
2640,08062025061651823,0,0,Puzzle,0,0.0,0,-1.1318645799999998,-3.0306374249999997,13.201962,13.592559776536325,4.6842892,13.380823,4.682259999999999,293.4823930338794,8.118921719532336,,,3.5311090349741696,3.148067862993495,5.194091680989082,3.9866344452118265,0.38304117198067456,1.2074572357772557,-0.07653773899264775,0.9733300034492114,-0.21626529748309534
2641,08062025061652016,0,0,Puzzle,0,0.0,0,-1.4256354999999998,-2.88789508,13.615832999999999,13.99154326212221,7.2792460000000005,13.975414,2.8681,291.7731795287424,7.9845006502671625,,,3.0044848463384595,3.034011030094182,5.522816729977217,3.736814643572758,0.029526183755722357,1.786002086404459,-0.08642700929777425,0.95979891632493,-0.2670513289338447
2642,08062025061652224,0,0,Puzzle,0,0.0,0,-1.76269694,-2.5076483400000003,13.678075999999999,14.017316567773095,10.364106,14.112576,2.9692500000000006,434.29507560805865,7.583290401044346,,,3.034173309909696,3.049360619340035,5.602825492414306,3.9743843996982235,0.015187309430338747,1.6284410927160824,-0.08133358847684384,0.9569259897516104,-0.2787068307799081
2643,08062025061652416,0,0,Puzzle,0,0.0,0,-1.8572610399999998,-2.48885586,13.358127000000001,13.71434938342637,10.202406,14.624538999999999,3.0037699999999994,448.17895799884377,7.886667764699254,,,2.54195643672841,3.158233111492844,5.509717474963928,4.797871540948548,0.6162766747644337,0.71184593401538,-0.05159645970496507,0.9604553813145331,-0.2736115236057661
